month,depth,par,chla
JUN,85,8,-0.01
JUN,86,8,-0.01
JUN,87,8,-0.01
JUN,88,8,-0.01
JUN,89,8,-0.01
JUN,90,8,-0.01
JUN,91,8,-0.02
JUN,92,8,-0.02
JUN,93,8,-0.02
JUN,94,8,-0.02
JUN,95,9,-0.02
JUN,96,8,-0.02
JUN,97,8,-0.02
JUN,98,8,-0.02
JUN,99,8,-0.02
JUN,100,8,-0.02
JUL,0.1,4016,0.23
JUL,1,1416,0.24
JUL,2,483,0.24
JUL,3,512,0.24
JUL,4,512,0.24
JUL,5,398,0.34
JUL,6,346,0.36
JUL,7,290,0.37
JUL,8,247,0.39
JUL,9,225,0.4
JUL,10,193,0.42
JUL,11,148,0.45
JUL,12,129,0.46
JUL,13,129,0.46
JUL,14,112,0.47
JUL,15,95,0.48
JUL,16,82,0.5
JUL,17,72,0.53
JUL,18,61,0.56
JUL,19,52,0.58
JUL,20,45,0.62
JUL,21,42,0.65
JUL,22,38,0.68
JUL,23,33,0.72
JUL,24,29,0.75
JUL,25,26,0.78
JUL,26,23,0.8
JUL,27,21,0.83
JUL,28,19,0.85
JUL,29,17,0.88
JUL,30,16,0.9
JUL,31,15,0.93
JUL,32,15,0.93
JUL,33,13,0.99
JUL,34,12,1.02
JUL,35,12,1.06
JUL,36,12,1.1
JUL,37,11,1.13
JUL,38,11,1.19
JUL,39,10,1.25
JUL,40,11,1.24
JUL,41,11,1.24
JUL,42,10,1.22
JUL,43,9,1.16
JUL,44,9,1.16
JUL,45,9,1.13
JUL,46,9,1.08
JUL,47,9,0.61
JUL,48,9,0.61
JUL,49,9,0.61
JUL,50,9,0.58
JUL,51,9,0.46
JUL,52,9,0.46
JUL,53,9,0.56
JUL,54,8,0.54
JUL,55,9,0.51
JUL,56,9,0.51
JUL,57,9,0.49
JUL,58,8,0.4
JUL,59,8,0.34
JUL,60,8,0.32
JUL,61,8,0.3
JUL,62,8,0.27
JUL,63,8,0.25
JUL,64,8,0.23
JUL,65,8,0.22
JUL,66,9,0.21
JUL,67,8,0.19
JUL,68,8,0.19
JUL,69,8,0.17
JUL,70,8,0.15
JUL,71,8,0.1
JUL,72,8,0.09
JUL,73,8,0.07
JUL,74,8,0.07
JUL,75,8,0.07
JUL,76,8,0.07
JUL,77,8,0.06
JUL,78,8,0.06
JUL,79,9,0.06
JUL,80,8,0.05
JUL,81,7,0.05
JUL,82,8,0.04
JUL,83,8,0.03
JUL,84,8,0.04
JUL,85,8,0.04
JUL,86,8,0.04
JUL,87,8,0.03
JUL,88,9,0.03
JUL,89,8,0.05
JUL,90,8,0.08
JUL,91,8,0.08
JUL,92,8,0.07
JUL,93,8,0.07
JUL,94,8,0.07
JUL,95,8,0.07
JUL,96,8,0.05
JUL,97,8,0.02
JUL,98,8,0.02
JUL,99,8,0.02
JUL,100,8,0.02
